id,sentence,emotion,emoticon,,
1,こんにちは。,喜び,＼(＾▽＾)／,,
2,あきらめたらそこで試合終了だよ,励まし,p| ￣∀￣ |q?,,
3,これでいいのだ・・・,後悔,(_　_|||),,
4,立つんだ、ジョー！,興奮,(*゜∀゜)=3!!,,
5,燃えたよ、燃え尽きた、真っ白にな,虚しい,ヽ( ´ー`)ﾉﾌｯ,,
6,目が～～！目が～～！,苦痛,(／-＼),,
7,黙れ小僧！,怒り,(｀Д´),,
8,飛べねぇ豚はただの豚だ。,虚しさ,σ（￣（●●）￣）,,
9,親父にもぶたれたこと無いのに！！,悲しみ 怒り 驚き,Σ(ﾟ口ﾟ;,,
10,お前は、神が”死ね”って言ったら死ぬのかァ！？,怒り,(　ﾟДﾟ),,
11,背中の傷は剣士の恥だ…,名誉,(￣ー￣),,
12,同情するなら金をくれ,困る,(´Д｀υ),,
13,我が生涯に一片の悔いなし!,誇り,(・∀・),,
14,愛などいらぬ！,切ない,(´・ω・｀),,
15,人間だもの☆,気にしない,(>ω゜δ #,,
16,超レアだぜ,満足,( ･´ｰ･｀)?,,
17,もう疲れたよパトラッシュ,諦め,(´・ω・｀),,
18,ブルータス、お前もか,裏切られる 無念,┗┐＜(??ω?? )＞┌┛,,
19,海賊王におれはなる,決心,ψ(｀∇´)ψ,,
20,まったくいい人生だった,後悔はしていない,(￣▽￣),,
21,興味ないね。,どうでもいい,?（ ￣＿￣）ﾉ,,
22,終わらせてやるよ・・・・何もかも！！,自信,(￣ー+￣),,
23,この俺を超えてみよ！,挑発,щ(ﾟДﾟщ),,
24,真実は、いつもひとつ！,キリッ,(｀・ω・´),,
25,ふざけんなって感じですかね。,冷静な怒り,"（-""""-；)",,
26,最強の剣じゃないのかー！,驚き 焦り,Σ(ﾟДﾟ;)|||,,
27,欲しい！その刀、くれ～！,欲求,(;;;ﾟДﾟ),,
28,いいですとも！,期待,?((o(^-^)o)),,
29,くそっ！やられた,悔しむ,ヽ(´Д`;)ﾉ,,
30,坊やだからさ・・・,仕方ない,(。-ω-),,
31,逃げちゃだめだ・・・,恐怖,（；ﾟ Дﾟ）,,
